data_criacao,id,temperatura,umidade,latitude,longitude,altitude,HDOP,satelites
2025-11-17T18:44:23-03:00,55,30.8,71.0,-7.995842,-34.840946,-4.6,1.29,6.0
2025-11-17T18:44:44-03:00,56,30.8,71.0,-7.995844,-34.840949,18.7,1.38,5.0
2025-11-17T18:45:04-03:00,57,30.8,71.0,-7.995809,-34.84076,1.9,1.45,6.0
2025-11-17T18:45:25-03:00,58,30.8,71.0,-7.995841,-34.840701,1.7,2.41,5.0
2025-11-17T18:45:45-03:00,59,30.8,71.0,-7.995979,-34.841087,1.9,8.84,6.0
2025-11-17T18:46:06-03:00,60,30.8,71.0,-7.995979,-34.841087,1.9,8.84,6.0
2025-11-17T18:46:27-03:00,61,30.8,71.0,-7.99575,-34.841,2.7,1.57,6.0
2025-11-17T18:46:47-03:00,62,30.8,71.0,-7.995894,-34.841059,4.8,1.97,5.0
2025-11-17T18:47:08-03:00,63,30.8,71.0,-7.995894,-34.841059,4.8,1.97,5.0
2025-11-17T18:47:28-03:00,64,30.8,71.0,-7.995856,-34.840995,4.4,1.37,6.0
2025-11-17T18:47:49-03:00,65,30.3,71.0,-7.995856,-34.840995,4.4,1.37,6.0
2025-11-19T09:41:25-03:00,66,32.8,71.0,-8.052602,-34.886076,-0.2,2.71,3.0
2025-11-19T09:41:46-03:00,67,33.2,66.0,-8.052573,-34.88605,14.7,2.18,4.0
2025-11-19T09:42:07-03:00,68,33.3,66.0,-8.052579,-34.886051,19.4,1.49,5.0
2025-11-19T09:42:27-03:00,69,33.3,65.0,-8.052574,-34.886071,20.0,1.32,6.0
2025-11-19T09:42:48-03:00,70,33.3,64.0,-8.052568,-34.886061,25.7,1.32,6.0
2025-11-19T09:43:08-03:00,71,33.3,63.0,-8.052586,-34.886053,22.6,1.32,6.0
2025-11-19T09:43:29-03:00,72,33.3,63.0,-8.052602,-34.886041,19.4,1.33,6.0
2025-11-19T09:43:50-03:00,73,33.3,62.0,-8.052601,-34.886052,17.7,1.33,6.0
2025-11-19T09:44:10-03:00,74,33.8,62.0,-8.052595,-34.886064,15.7,1.33,6.0
2025-11-19T09:44:31-03:00,75,33.8,61.0,-8.052584,-34.886071,15.7,1.33,6.0
2025-11-19T09:44:52-03:00,76,34.2,61.0,-8.052594,-34.886058,19.2,1.33,6.0
2025-11-19T09:45:12-03:00,77,34.7,61.0,-8.052567,-34.886071,15.6,1.34,6.0
2025-11-19T09:45:33-03:00,78,35.2,59.0,-8.052567,-34.886071,15.6,1.34,6.0
2025-11-19T09:45:54-03:00,79,35.2,59.0,-8.052578,-34.886074,13.4,1.34,6.0
2025-11-19T09:46:15-03:00,80,35.2,58.0,-8.052575,-34.886076,13.4,1.34,6.0
2025-11-19T09:46:37-03:00,81,35.2,58.0,-8.052563,-34.886074,13.5,1.34,6.0
2025-11-19T09:46:58-03:00,82,34.7,58.0,-8.052568,-34.886067,14.6,1.35,6.0
2025-11-19T09:47:19-03:00,83,34.7,58.0,-8.05258,-34.886058,14.4,1.35,6.0
2025-11-19T09:47:39-03:00,84,34.7,58.0,-8.052578,-34.886065,11.7,1.35,6.0
2025-11-19T09:48:00-03:00,85,34.7,58.0,-8.052584,-34.886046,12.5,1.12,7.0
2025-11-19T09:48:21-03:00,86,34.7,58.0,-8.052593,-34.88603,14.2,1.12,7.0
2025-11-19T09:48:42-03:00,87,34.7,59.0,-8.052603,-34.88604,14.2,1.12,7.0
2025-11-19T09:49:03-03:00,88,35.2,57.0,-8.052603,-34.88604,14.2,1.12,7.0
2025-11-19T09:49:24-03:00,89,35.2,57.0,-8.052607,-34.886042,14.7,1.12,7.0
2025-11-19T09:49:45-03:00,90,35.2,57.0,-8.052608,-34.886041,15.8,1.12,7.0
2025-11-19T09:50:06-03:00,91,35.6,57.0,-8.052616,-34.886036,17.3,1.12,7.0
2025-11-19T09:50:27-03:00,92,36.3,56.0,-8.052622,-34.886037,16.7,1.12,7.0
2025-11-19T09:51:53-03:00,93,36.9,55.0,-8.052599,-34.886038,7.0,1.02,8.0
2025-11-19T09:52:14-03:00,94,37.5,54.0,-8.052608,-34.886029,8.6,1.11,8.0
2025-11-19T09:52:35-03:00,95,38.0,53.0,-8.052608,-34.886029,8.6,1.11,8.0
